Player,Role,rwts_final_mu,rwts_final_sigma,rwts_final_conservative,rwts_games,role_weight
Niket,SUPPORT,21.179519532215586,5.862602974051087,3.591710610062325,35,0.9
Mark,SUPPORT,21.81541853940599,6.27717714145324,2.9838871150462687,28,0.9
Iwandy,SUPPORT,22.631567566032373,7.437833272265827,0.318067749234892,11,0.9
Ming,SUPPORT,21.56537293296053,7.209657493305948,-0.06359954695731673,14,0.9
XBear,SUPPORT,24.17183580442515,8.146078346102325,-0.26639923388182396,2,0.9
Qiuqiu,SUPPORT,23.45922970396462,7.918108647147151,-0.2950962374768338,5,0.9
Tangyuan,SUPPORT,23.043404968111194,7.832450660651023,-0.4539470138418764,6,0.9
369,TOP,32.833761520898754,6.029971901643981,14.743845815966814,30,1.0
Bin,TOP,31.667070736229558,5.75254528133439,14.40943489222639,36,1.0
Zika,TOP,28.812828133823338,5.8209874991626425,11.349865636335409,36,1.0
Ale,TOP,27.96145131911043,5.683600907932277,10.9106485953136,37,1.0
Breathe,TOP,27.122185628199084,5.758137562791305,9.84777293982517,37,1.0
sheer,TOP,25.89351502067214,6.303931403642076,6.981720809745912,27,1.0
Hery,TOP,26.101467464657546,6.379186802886815,6.963907055997101,26,1.0
Hoya,TOP,25.509193141655185,6.2126547042981946,6.871229028760602,29,1.0
Xiaoxu,TOP,24.367103364033216,6.141081643545087,5.943858433397953,30,1.0
YSKM,TOP,25.833856472258237,6.811228861628447,5.400169887372897,20,1.0
Burdol,TOP,23.56335895219699,6.230488997666654,4.871891959197026,28,1.0
Flandre,TOP,28.25195295740966,7.819239571448259,4.794234243064881,6,1.0
shanji,TOP,22.20015963650996,5.847181644341149,4.65861470348651,34,1.0
Solokill,TOP,22.060836694063603,6.08933709565181,3.7928254071081753,31,1.0
Xiaolaohu,TOP,25.130070132258204,7.133253929469698,3.73030834384911,15,1.0
Qingtian,TOP,20.755021702461764,5.862602974051087,3.1672127803085033,35,1.0
Wayward,TOP,21.46157615489555,6.27717714145324,2.630044730535829,28,1.0
Shanji,TOP,26.192104551828187,8.003510587636507,2.1815727889186647,4,1.0
Zdz,TOP,21.485049117855613,6.437572024485987,2.1723330443976536,25,1.0
Zuian,TOP,25.511845256446136,8.088319257169037,1.2468874849390268,3,1.0
Juice,TOP,20.182061122899444,6.565788878668852,0.48469448689288797,23,1.0
ZUIAN,TOP,22.101378845043307,7.364168331022997,0.008873851974314562,12,1.0
TheNiu,TOP,24.31724496336324,8.253850335775784,-0.44430604396411155,1,1.0
Cube,TOP,23.165805606727552,7.924719031581826,-0.6083514880179237,5,1.0
Burbol,TOP,23.063672829430214,7.970677718651944,-0.8483603265256185,4,1.0
